,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2010-04-17,40900101,True,0,0.0,13,96,1610612739,Cleveland Cavaliers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-13,83,1610612741,Chicago Bulls,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2010-04-17,40900121,True,0,0.0,10,102,1610612737,Atlanta Hawks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-10,92,1610612749,Milwaukee Bucks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2010-04-17,40900131,True,0,0.0,9,85,1610612738,Boston Celtics,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-9,76,1610612748,Miami Heat,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2010-04-17,40900171,True,0,0.0,13,126,1610612743,Denver Nuggets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-13,113,1610612762,Utah Jazz,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2010-04-18,40900111,True,0,0.0,9,98,1610612753,Orlando Magic,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-9,89,1610612766,Charlotte Bobcats,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2010-04-18,40900141,True,0,0.0,8,87,1610612747,Los Angeles Lakers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-8,79,1610612760,Oklahoma City Thunder,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2010-04-18,40900151,True,0,0.0,6,100,1610612742,Dallas Mavericks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-6,94,1610612759,San Antonio Spurs,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2010-04-18,40900161,True,1,0.0,-5,100,1610612756,Phoenix Suns,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,5,105,1610612757,Portland Trail Blazers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2010-04-19,40900102,True,0,0.0,10,112,1610612739,Cleveland Cavaliers,1,1.0,0.56,0.25,0.77,0.464,0.706,1.0,0.27,0.27,1.0,2.0,8.0,1.04,0.15,0.38,1.0,1.0,0.56,0.25,0.77,0.464,0.706,1.0,0.27,0.27,1.0,2.0,8.0,1.04,0.15,0.38,1.0,1.0,0.56,0.25,0.77,0.464,0.706,1.0,0.27,0.27,1.0,2.0,8.0,1.04,0.15,0.38,1.0,1.0,0.56,0.25,0.77,0.464,0.706,1.0,0.27,0.27,1.0,2.0,8.0,1.04,0.15,0.38,1.0,1.0,0.56,0.25,0.77,0.464,0.706,1.0,0.27,0.27,1.0,2.0,8.0,1.04,0.15,0.38,1.0,1.0,False,1,1.0,-10,102,1610612741,Chicago Bulls,0,0.0,0.4,0.08,0.65,0.425,0.727,1.0,0.15,-0.27,15.0,1.73,14.0,0.79,0.25,0.29,0.0,9.0,0.4,0.08,0.65,0.425,0.727,1.0,0.15,-0.27,15.0,1.73,14.0,0.79,0.25,0.29,0.0,9.0,0.4,0.08,0.65,0.425,0.727,1.0,0.15,-0.27,15.0,1.73,14.0,0.79,0.25,0.29,0.0,9.0,0.4,0.08,0.65,0.425,0.727,1.0,0.15,-0.27,15.0,1.73,14.0,0.79,0.25,0.29,0.0,9.0,0.4,0.08,0.65,0.425,0.727,1.0,0.15,-0.27,15.0,1.73,14.0,0.79,0.25,0.29,0.0,9.0
9,2,2010-04-19,40900172,True,1,0.0,-3,111,1610612743,Denver Nuggets,0,1.0,0.6,0.06,0.67,0.571,0.76,1.0,0.21,0.27,1.0,2.63,1.0,0.88,0.13,0.17,1.0,1.0,0.6,0.06,0.67,0.571,0.76,1.0,0.21,0.27,1.0,2.63,1.0,0.88,0.13,0.17,1.0,1.0,0.6,0.06,0.67,0.571,0.76,1.0,0.21,0.27,1.0,2.63,1.0,0.88,0.13,0.17,1.0,1.0,0.6,0.06,0.67,0.571,0.76,1.0,0.21,0.27,1.0,2.63,1.0,0.88,0.13,0.17,1.0,1.0,0.6,0.06,0.67,0.571,0.76,1.0,0.21,0.27,1.0,2.63,1.0,0.88,0.13,0.17,1.0,1.0,False,0,1.0,3,114,1610612762,Utah Jazz,1,0.0,0.54,0.13,0.56,0.547,0.75,1.0,0.08,-0.27,15.0,2.35,2.0,0.65,0.08,0.21,0.0,9.0,0.54,0.13,0.56,0.547,0.75,1.0,0.08,-0.27,15.0,2.35,2.0,0.65,0.08,0.21,0.0,9.0,0.54,0.13,0.56,0.547,0.75,1.0,0.08,-0.27,15.0,2.35,2.0,0.65,0.08,0.21,0.0,9.0,0.54,0.13,0.56,0.547,0.75,1.0,0.08,-0.27,15.0,2.35,2.0,0.65,0.08,0.21,0.0,9.0,0.54,0.13,0.56,0.547,0.75,1.0,0.08,-0.27,15.0,2.35,2.0,0.65,0.08,0.21,0.0,9.0
