,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2014-04-19,41300101,False,0,0.0,8,101,1610612737,Atlanta Hawks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-8,93,1610612754,Indiana Pacers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2014-04-19,41300121,False,0,0.0,7,94,1610612751,Brooklyn Nets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-7,87,1610612761,Toronto Raptors,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2014-04-19,41300151,True,0,0.0,14,100,1610612760,Oklahoma City Thunder,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-14,86,1610612763,Memphis Grizzlies,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2014-04-19,41300161,False,0,0.0,4,109,1610612744,Golden State Warriors,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-4,105,1610612746,Los Angeles Clippers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2014-04-20,41300111,True,0,0.0,11,99,1610612748,Miami Heat,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-11,88,1610612766,Charlotte Bobcats,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2014-04-20,41300131,True,1,0.0,-9,93,1610612741,Chicago Bulls,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,9,102,1610612764,Washington Wizards,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2014-04-20,41300141,False,1,0.0,-5,85,1610612742,Dallas Mavericks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,5,90,1610612759,San Antonio Spurs,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2014-04-20,41300171,True,1,0.0,-2,120,1610612745,Houston Rockets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,2,122,1610612757,Portland Trail Blazers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2014-04-21,41300152,True,1,0.0,-6,105,1610612760,Oklahoma City Thunder,0,1.0,0.46,0.21,0.92,0.447,0.875,1.0,0.15,0.29,1.0,2.08,7.0,1.06,0.06,0.27,1.0,1.0,0.46,0.21,0.92,0.447,0.875,1.0,0.15,0.29,1.0,2.08,7.0,1.06,0.06,0.27,1.0,1.0,0.46,0.21,0.92,0.447,0.875,1.0,0.15,0.29,1.0,2.08,7.0,1.06,0.06,0.27,1.0,1.0,0.46,0.21,0.92,0.447,0.875,1.0,0.15,0.29,1.0,2.08,7.0,1.06,0.06,0.27,1.0,1.0,0.46,0.21,0.92,0.447,0.875,1.0,0.15,0.29,1.0,2.08,7.0,1.06,0.06,0.27,1.0,1.0,False,0,1.0,6,111,1610612763,Memphis Grizzlies,1,0.0,0.42,0.08,0.58,0.363,0.581,1.0,0.27,-0.29,16.0,1.79,15.0,0.85,0.15,0.13,0.0,9.0,0.42,0.08,0.58,0.363,0.581,1.0,0.27,-0.29,16.0,1.79,15.0,0.85,0.15,0.13,0.0,9.0,0.42,0.08,0.58,0.363,0.581,1.0,0.27,-0.29,16.0,1.79,15.0,0.85,0.15,0.13,0.0,9.0,0.42,0.08,0.58,0.363,0.581,1.0,0.27,-0.29,16.0,1.79,15.0,0.85,0.15,0.13,0.0,9.0,0.42,0.08,0.58,0.363,0.581,1.0,0.27,-0.29,16.0,1.79,15.0,0.85,0.15,0.13,0.0,9.0
9,2,2014-04-21,41300162,False,1,0.0,-40,98,1610612744,Golden State Warriors,0,1.0,0.54,0.13,0.69,0.444,0.72,1.0,0.31,0.08,7.0,2.27,2.0,1.0,0.1,0.48,1.0,1.0,0.54,0.13,0.69,0.444,0.72,1.0,0.31,0.08,7.0,2.27,2.0,1.0,0.1,0.48,1.0,1.0,0.54,0.13,0.69,0.444,0.72,1.0,0.31,0.08,7.0,2.27,2.0,1.0,0.1,0.48,1.0,1.0,0.54,0.13,0.69,0.444,0.72,1.0,0.31,0.08,7.0,2.27,2.0,1.0,0.1,0.48,1.0,1.0,0.54,0.13,0.69,0.444,0.72,1.0,0.31,0.08,7.0,2.27,2.0,1.0,0.1,0.48,1.0,1.0,True,0,1.0,40,138,1610612746,Los Angeles Clippers,1,0.0,0.5,0.15,0.54,0.424,0.657,1.0,0.33,-0.08,10.0,2.19,4.0,0.88,0.27,0.35,0.0,9.0,0.5,0.15,0.54,0.424,0.657,1.0,0.33,-0.08,10.0,2.19,4.0,0.88,0.27,0.35,0.0,9.0,0.5,0.15,0.54,0.424,0.657,1.0,0.33,-0.08,10.0,2.19,4.0,0.88,0.27,0.35,0.0,9.0,0.5,0.15,0.54,0.424,0.657,1.0,0.33,-0.08,10.0,2.19,4.0,0.88,0.27,0.35,0.0,9.0,0.5,0.15,0.54,0.424,0.657,1.0,0.33,-0.08,10.0,2.19,4.0,0.88,0.27,0.35,0.0,9.0
