,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2015-04-18,41400121,True,0,0.0,12,103,1610612741,Chicago Bulls,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-12,91,1610612749,Milwaukee Bucks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2015-04-18,41400131,True,1,0.0,-7,86,1610612761,Toronto Raptors,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,7,93,1610612764,Washington Wizards,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2015-04-18,41400141,False,1,0.0,-7,99,1610612740,New Orleans Pelicans,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,7,106,1610612744,Golden State Warriors,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2015-04-18,41400151,False,1,0.0,-10,108,1610612742,Dallas Mavericks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,10,118,1610612745,Houston Rockets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2015-04-19,41400101,True,0,0.0,7,99,1610612737,Atlanta Hawks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-7,92,1610612751,Brooklyn Nets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2015-04-19,41400111,False,1,0.0,-13,100,1610612738,Boston Celtics,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,13,113,1610612739,Cleveland Cavaliers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2015-04-19,41400161,True,0,0.0,15,107,1610612746,Los Angeles Clippers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-15,92,1610612759,San Antonio Spurs,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2015-04-19,41400171,False,1,0.0,-14,86,1610612757,Portland Trail Blazers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,14,100,1610612763,Memphis Grizzlies,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2015-04-20,41400122,True,0,0.0,9,91,1610612741,Chicago Bulls,1,1.0,0.63,0.15,0.88,0.458,0.682,1.0,0.21,0.25,4.0,2.15,6.0,1.08,0.17,0.4,1.0,1.0,0.63,0.15,0.88,0.458,0.682,1.0,0.21,0.25,4.0,2.15,6.0,1.08,0.17,0.4,1.0,1.0,0.63,0.15,0.88,0.458,0.682,1.0,0.21,0.25,4.0,2.15,6.0,1.08,0.17,0.4,1.0,1.0,0.63,0.15,0.88,0.458,0.682,1.0,0.21,0.25,4.0,2.15,6.0,1.08,0.17,0.4,1.0,1.0,0.63,0.15,0.88,0.458,0.682,1.0,0.21,0.25,4.0,2.15,6.0,1.08,0.17,0.4,1.0,1.0,False,1,1.0,-9,82,1610612749,Milwaukee Bucks,0,0.0,0.46,0.06,0.58,0.393,0.654,1.0,0.27,-0.25,13.0,1.9,13.0,0.85,0.23,0.27,0.0,9.0,0.46,0.06,0.58,0.393,0.654,1.0,0.27,-0.25,13.0,1.9,13.0,0.85,0.23,0.27,0.0,9.0,0.46,0.06,0.58,0.393,0.654,1.0,0.27,-0.25,13.0,1.9,13.0,0.85,0.23,0.27,0.0,9.0,0.46,0.06,0.58,0.393,0.654,1.0,0.27,-0.25,13.0,1.9,13.0,0.85,0.23,0.27,0.0,9.0,0.46,0.06,0.58,0.393,0.654,1.0,0.27,-0.25,13.0,1.9,13.0,0.85,0.23,0.27,0.0,9.0
9,2,2015-04-20,41400142,False,1,1.0,-10,87,1610612740,New Orleans Pelicans,0,0.0,0.5,0.1,0.71,0.422,0.8,1.0,0.21,-0.15,10.0,2.06,9.0,0.92,0.17,0.29,0.0,9.0,0.5,0.1,0.71,0.422,0.8,1.0,0.21,-0.15,10.0,2.06,9.0,0.92,0.17,0.29,0.0,9.0,0.5,0.1,0.71,0.422,0.8,1.0,0.21,-0.15,10.0,2.06,9.0,0.92,0.17,0.29,0.0,9.0,0.5,0.1,0.71,0.422,0.8,1.0,0.21,-0.15,10.0,2.06,9.0,0.92,0.17,0.29,0.0,9.0,0.5,0.1,0.71,0.422,0.8,1.0,0.21,-0.15,10.0,2.06,9.0,0.92,0.17,0.29,0.0,9.0,True,0,0.0,10,97,1610612744,Golden State Warriors,1,1.0,0.5,0.13,0.77,0.457,0.618,1.0,0.21,0.15,6.0,2.21,5.0,0.98,0.23,0.31,1.0,1.0,0.5,0.13,0.77,0.457,0.618,1.0,0.21,0.15,6.0,2.21,5.0,0.98,0.23,0.31,1.0,1.0,0.5,0.13,0.77,0.457,0.618,1.0,0.21,0.15,6.0,2.21,5.0,0.98,0.23,0.31,1.0,1.0,0.5,0.13,0.77,0.457,0.618,1.0,0.21,0.15,6.0,2.21,5.0,0.98,0.23,0.31,1.0,1.0,0.5,0.13,0.77,0.457,0.618,1.0,0.21,0.15,6.0,2.21,5.0,0.98,0.23,0.31,1.0,1.0
10,3,2015-04-21,41400112,False,1,1.0,-8,91,1610612738,Boston Celtics,0,0.0,0.5,0.08,0.56,0.468,0.818,1.0,0.15,-0.27,14.0,2.08,6.0,0.71,0.15,0.29,0.0,9.0,0.5,0.08,0.56,0.468,0.818,1.0,0.15,-0.27,14.0,2.08,6.0,0.71,0.15,0.29,0.0,9.0,0.5,0.08,0.56,0.468,0.818,1.0,0.15,-0.27,14.0,2.08,6.0,0.71,0.15,0.29,0.0,9.0,0.5,0.08,0.56,0.468,0.818,1.0,0.15,-0.27,14.0,2.08,6.0,0.71,0.15,0.29,0.0,9.0,0.5,0.08,0.56,0.468,0.818,1.0,0.15,-0.27,14.0,2.08,6.0,0.71,0.15,0.29,0.0,9.0,True,0,0.0,8,99,1610612739,Cleveland Cavaliers,1,1.0,0.4,0.1,0.65,0.451,0.788,1.0,0.31,0.27,3.0,2.35,2.0,0.96,0.13,0.27,1.0,1.0,0.4,0.1,0.65,0.451,0.788,1.0,0.31,0.27,3.0,2.35,2.0,0.96,0.13,0.27,1.0,1.0,0.4,0.1,0.65,0.451,0.788,1.0,0.31,0.27,3.0,2.35,2.0,0.96,0.13,0.27,1.0,1.0,0.4,0.1,0.65,0.451,0.788,1.0,0.31,0.27,3.0,2.35,2.0,0.96,0.13,0.27,1.0,1.0,0.4,0.1,0.65,0.451,0.788,1.0,0.31,0.27,3.0,2.35,2.0,0.96,0.13,0.27,1.0,1.0
