,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2011-04-16,41000101,True,0,0.0,5,104,1610612741,Chicago Bulls,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-5,99,1610612754,Indiana Pacers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2011-04-16,41000111,True,0,0.0,8,97,1610612748,Miami Heat,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-8,89,1610612755,Philadelphia 76ers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2011-04-16,41000131,False,0,0.0,10,103,1610612737,Atlanta Hawks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-10,93,1610612753,Orlando Magic,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2011-04-16,41000161,True,0,0.0,8,89,1610612742,Dallas Mavericks,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-8,81,1610612757,Portland Trail Blazers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2011-04-17,41000121,True,0,0.0,2,87,1610612738,Boston Celtics,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-2,85,1610612752,New York Knicks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2011-04-17,41000141,True,1,0.0,-3,98,1610612759,San Antonio Spurs,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,3,101,1610612763,Memphis Grizzlies,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2011-04-17,41000151,False,0,0.0,9,109,1610612740,New Orleans Hornets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-9,100,1610612747,Los Angeles Lakers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2011-04-17,41000171,False,1,0.0,-4,103,1610612743,Denver Nuggets,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,4,107,1610612760,Oklahoma City Thunder,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2011-04-18,41000102,True,0,0.0,6,96,1610612741,Chicago Bulls,1,1.0,0.38,0.19,0.58,0.439,0.813,1.0,0.44,0.1,5.0,2.17,3.0,1.02,0.13,0.31,1.0,1.0,0.38,0.19,0.58,0.439,0.813,1.0,0.44,0.1,5.0,2.17,3.0,1.02,0.13,0.31,1.0,1.0,0.38,0.19,0.58,0.439,0.813,1.0,0.44,0.1,5.0,2.17,3.0,1.02,0.13,0.31,1.0,1.0,0.38,0.19,0.58,0.439,0.813,1.0,0.44,0.1,5.0,2.17,3.0,1.02,0.13,0.31,1.0,1.0,0.38,0.19,0.58,0.439,0.813,1.0,0.44,0.1,5.0,2.17,3.0,1.02,0.13,0.31,1.0,1.0,False,1,1.0,-6,90,1610612754,Indiana Pacers,0,0.0,0.44,0.13,0.44,0.464,0.647,1.0,0.27,-0.1,12.0,2.06,8.0,0.71,0.17,0.25,0.0,9.0,0.44,0.13,0.44,0.464,0.647,1.0,0.27,-0.1,12.0,2.06,8.0,0.71,0.17,0.25,0.0,9.0,0.44,0.13,0.44,0.464,0.647,1.0,0.27,-0.1,12.0,2.06,8.0,0.71,0.17,0.25,0.0,9.0,0.44,0.13,0.44,0.464,0.647,1.0,0.27,-0.1,12.0,2.06,8.0,0.71,0.17,0.25,0.0,9.0,0.44,0.13,0.44,0.464,0.647,1.0,0.27,-0.1,12.0,2.06,8.0,0.71,0.17,0.25,0.0,9.0
9,2,2011-04-18,41000112,True,0,0.0,21,94,1610612748,Miami Heat,1,1.0,0.31,0.1,0.77,0.419,0.795,1.0,0.31,0.17,3.0,2.02,10.0,1.08,0.06,0.29,1.0,1.0,0.31,0.1,0.77,0.419,0.795,1.0,0.31,0.17,3.0,2.02,10.0,1.08,0.06,0.29,1.0,1.0,0.31,0.1,0.77,0.419,0.795,1.0,0.31,0.17,3.0,2.02,10.0,1.08,0.06,0.29,1.0,1.0,0.31,0.1,0.77,0.419,0.795,1.0,0.31,0.17,3.0,2.02,10.0,1.08,0.06,0.29,1.0,1.0,0.31,0.1,0.77,0.419,0.795,1.0,0.31,0.17,3.0,2.02,10.0,1.08,0.06,0.29,1.0,1.0,False,1,1.0,-21,73,1610612755,Philadelphia 76ers,0,0.0,0.46,0.04,0.56,0.412,0.8,1.0,0.25,-0.17,13.0,1.85,12.0,0.81,0.17,0.19,0.0,9.0,0.46,0.04,0.56,0.412,0.8,1.0,0.25,-0.17,13.0,1.85,12.0,0.81,0.17,0.19,0.0,9.0,0.46,0.04,0.56,0.412,0.8,1.0,0.25,-0.17,13.0,1.85,12.0,0.81,0.17,0.19,0.0,9.0,0.46,0.04,0.56,0.412,0.8,1.0,0.25,-0.17,13.0,1.85,12.0,0.81,0.17,0.19,0.0,9.0,0.46,0.04,0.56,0.412,0.8,1.0,0.25,-0.17,13.0,1.85,12.0,0.81,0.17,0.19,0.0,9.0
