,DAY_WITHIN_SEASON,GAME_DATE,GAME_ID,T1_IS_HOME,T1_L,T1_L_cum,T1_PLUS_MINUS,T1_PTS,T1_TEAM_ID,T1_TEAM_NAME,T1_W,T1_W_cum,T1_lag08_AST,T1_lag08_BLK,T1_lag08_DREB,T1_lag08_FG_PCT,T1_lag08_FT_PCT,T1_lag08_GP,T1_lag08_OREB,T1_lag08_PLUS_MINUS,T1_lag08_PLUS_MINUS_RANK,T1_lag08_PTS,T1_lag08_PTS_RANK,T1_lag08_REB,T1_lag08_STL,T1_lag08_TOV,T1_lag08_W_PCT,T1_lag08_W_PCT_RANK,T1_lag16_AST,T1_lag16_BLK,T1_lag16_DREB,T1_lag16_FG_PCT,T1_lag16_FT_PCT,T1_lag16_GP,T1_lag16_OREB,T1_lag16_PLUS_MINUS,T1_lag16_PLUS_MINUS_RANK,T1_lag16_PTS,T1_lag16_PTS_RANK,T1_lag16_REB,T1_lag16_STL,T1_lag16_TOV,T1_lag16_W_PCT,T1_lag16_W_PCT_RANK,T1_lag180_AST,T1_lag180_BLK,T1_lag180_DREB,T1_lag180_FG_PCT,T1_lag180_FT_PCT,T1_lag180_GP,T1_lag180_OREB,T1_lag180_PLUS_MINUS,T1_lag180_PLUS_MINUS_RANK,T1_lag180_PTS,T1_lag180_PTS_RANK,T1_lag180_REB,T1_lag180_STL,T1_lag180_TOV,T1_lag180_W_PCT,T1_lag180_W_PCT_RANK,T1_lag32_AST,T1_lag32_BLK,T1_lag32_DREB,T1_lag32_FG_PCT,T1_lag32_FT_PCT,T1_lag32_GP,T1_lag32_OREB,T1_lag32_PLUS_MINUS,T1_lag32_PLUS_MINUS_RANK,T1_lag32_PTS,T1_lag32_PTS_RANK,T1_lag32_REB,T1_lag32_STL,T1_lag32_TOV,T1_lag32_W_PCT,T1_lag32_W_PCT_RANK,T1_lag64_AST,T1_lag64_BLK,T1_lag64_DREB,T1_lag64_FG_PCT,T1_lag64_FT_PCT,T1_lag64_GP,T1_lag64_OREB,T1_lag64_PLUS_MINUS,T1_lag64_PLUS_MINUS_RANK,T1_lag64_PTS,T1_lag64_PTS_RANK,T1_lag64_REB,T1_lag64_STL,T1_lag64_TOV,T1_lag64_W_PCT,T1_lag64_W_PCT_RANK,T2_IS_HOME,T2_L,T2_L_cum,T2_PLUS_MINUS,T2_PTS,T2_TEAM_ID,T2_TEAM_NAME,T2_W,T2_W_cum,T2_lag08_AST,T2_lag08_BLK,T2_lag08_DREB,T2_lag08_FG_PCT,T2_lag08_FT_PCT,T2_lag08_GP,T2_lag08_OREB,T2_lag08_PLUS_MINUS,T2_lag08_PLUS_MINUS_RANK,T2_lag08_PTS,T2_lag08_PTS_RANK,T2_lag08_REB,T2_lag08_STL,T2_lag08_TOV,T2_lag08_W_PCT,T2_lag08_W_PCT_RANK,T2_lag16_AST,T2_lag16_BLK,T2_lag16_DREB,T2_lag16_FG_PCT,T2_lag16_FT_PCT,T2_lag16_GP,T2_lag16_OREB,T2_lag16_PLUS_MINUS,T2_lag16_PLUS_MINUS_RANK,T2_lag16_PTS,T2_lag16_PTS_RANK,T2_lag16_REB,T2_lag16_STL,T2_lag16_TOV,T2_lag16_W_PCT,T2_lag16_W_PCT_RANK,T2_lag180_AST,T2_lag180_BLK,T2_lag180_DREB,T2_lag180_FG_PCT,T2_lag180_FT_PCT,T2_lag180_GP,T2_lag180_OREB,T2_lag180_PLUS_MINUS,T2_lag180_PLUS_MINUS_RANK,T2_lag180_PTS,T2_lag180_PTS_RANK,T2_lag180_REB,T2_lag180_STL,T2_lag180_TOV,T2_lag180_W_PCT,T2_lag180_W_PCT_RANK,T2_lag32_AST,T2_lag32_BLK,T2_lag32_DREB,T2_lag32_FG_PCT,T2_lag32_FT_PCT,T2_lag32_GP,T2_lag32_OREB,T2_lag32_PLUS_MINUS,T2_lag32_PLUS_MINUS_RANK,T2_lag32_PTS,T2_lag32_PTS_RANK,T2_lag32_REB,T2_lag32_STL,T2_lag32_TOV,T2_lag32_W_PCT,T2_lag32_W_PCT_RANK,T2_lag64_AST,T2_lag64_BLK,T2_lag64_DREB,T2_lag64_FG_PCT,T2_lag64_FT_PCT,T2_lag64_GP,T2_lag64_OREB,T2_lag64_PLUS_MINUS,T2_lag64_PLUS_MINUS_RANK,T2_lag64_PTS,T2_lag64_PTS_RANK,T2_lag64_REB,T2_lag64_STL,T2_lag64_TOV,T2_lag64_W_PCT,T2_lag64_W_PCT_RANK
0,0,2018-04-14,41700101,True,0,0.0,8,114,1610612761,Toronto Raptors,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-8,106,1610612764,Washington Wizards,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2018-04-14,41700121,False,1,0.0,-27,103,1610612748,Miami Heat,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,0.0,27,130,1610612755,Philadelphia 76ers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2018-04-14,41700151,True,0,0.0,21,113,1610612744,Golden State Warriors,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-21,92,1610612759,San Antonio Spurs,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2018-04-14,41700161,False,0,0.0,2,97,1610612740,New Orleans Pelicans,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.0,-2,95,1610612757,Portland Trail Blazers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2018-04-15,41700111,True,0,0.0,6,113,1610612738,Boston Celtics,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-6,107,1610612749,Milwaukee Bucks,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2018-04-15,41700131,True,1,0.0,-18,80,1610612739,Cleveland Cavaliers,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,0.0,18,98,1610612754,Indiana Pacers,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2018-04-15,41700141,True,0,0.0,3,104,1610612745,Houston Rockets,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-3,101,1610612750,Minnesota Timberwolves,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2018-04-15,41700171,True,0,0.0,8,116,1610612760,Oklahoma City Thunder,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1,0.0,-8,108,1610612762,Utah Jazz,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,2018-04-16,41700122,False,0,1.0,10,113,1610612748,Miami Heat,1,0.0,0.52,0.13,0.67,0.455,0.677,1.0,0.19,-0.56,16.0,2.15,8.0,0.85,0.08,0.38,0.0,9.0,0.52,0.13,0.67,0.455,0.677,1.0,0.19,-0.56,16.0,2.15,8.0,0.85,0.08,0.38,0.0,9.0,0.52,0.13,0.67,0.455,0.677,1.0,0.19,-0.56,16.0,2.15,8.0,0.85,0.08,0.38,0.0,9.0,0.52,0.13,0.67,0.455,0.677,1.0,0.19,-0.56,16.0,2.15,8.0,0.85,0.08,0.38,0.0,9.0,0.52,0.13,0.67,0.455,0.677,1.0,0.19,-0.56,16.0,2.15,8.0,0.85,0.08,0.38,0.0,9.0,True,1,0.0,-10,103,1610612755,Philadelphia 76ers,0,1.0,0.71,0.08,0.69,0.474,0.759,1.0,0.35,0.56,1.0,2.71,1.0,1.04,0.19,0.23,1.0,1.0,0.71,0.08,0.69,0.474,0.759,1.0,0.35,0.56,1.0,2.71,1.0,1.04,0.19,0.23,1.0,1.0,0.71,0.08,0.69,0.474,0.759,1.0,0.35,0.56,1.0,2.71,1.0,1.04,0.19,0.23,1.0,1.0,0.71,0.08,0.69,0.474,0.759,1.0,0.35,0.56,1.0,2.71,1.0,1.04,0.19,0.23,1.0,1.0,0.71,0.08,0.69,0.474,0.759,1.0,0.35,0.56,1.0,2.71,1.0,1.04,0.19,0.23,1.0,1.0
9,2,2018-04-16,41700152,True,0,0.0,15,116,1610612744,Golden State Warriors,1,1.0,0.67,0.13,0.85,0.543,0.682,1.0,0.21,0.44,2.0,2.35,4.0,1.06,0.13,0.31,1.0,1.0,0.67,0.13,0.85,0.543,0.682,1.0,0.21,0.44,2.0,2.35,4.0,1.06,0.13,0.31,1.0,1.0,0.67,0.13,0.85,0.543,0.682,1.0,0.21,0.44,2.0,2.35,4.0,1.06,0.13,0.31,1.0,1.0,0.67,0.13,0.85,0.543,0.682,1.0,0.21,0.44,2.0,2.35,4.0,1.06,0.13,0.31,1.0,1.0,0.67,0.13,0.85,0.543,0.682,1.0,0.21,0.44,2.0,2.35,4.0,1.06,0.13,0.31,1.0,1.0,False,1,1.0,-15,101,1610612759,San Antonio Spurs,0,0.0,0.4,0.08,0.56,0.4,0.792,1.0,0.06,-0.44,15.0,1.92,15.0,0.63,0.19,0.27,0.0,9.0,0.4,0.08,0.56,0.4,0.792,1.0,0.06,-0.44,15.0,1.92,15.0,0.63,0.19,0.27,0.0,9.0,0.4,0.08,0.56,0.4,0.792,1.0,0.06,-0.44,15.0,1.92,15.0,0.63,0.19,0.27,0.0,9.0,0.4,0.08,0.56,0.4,0.792,1.0,0.06,-0.44,15.0,1.92,15.0,0.63,0.19,0.27,0.0,9.0,0.4,0.08,0.56,0.4,0.792,1.0,0.06,-0.44,15.0,1.92,15.0,0.63,0.19,0.27,0.0,9.0
